asset,date,low,close,high,open,volume
gas,1991-01-02,1.83,1.83,1.92,1.92,
gas,1991-01-03,1.75,1.78,1.8,1.77,
gas,1991-01-04,1.74,1.74,1.81,1.79,
gas,1991-01-07,1.76,1.79,1.8,1.76,
gas,1991-01-08,1.78,1.79,1.81,1.79,
gas,1991-01-09,1.71,1.73,1.78,1.74,
gas,1991-01-10,1.69,1.7,1.74,1.71,
gas,1991-01-11,1.67,1.7,1.71,1.68,
gas,1991-01-14,1.7,1.73,1.82,1.82,
gas,1991-01-15,1.72,1.72,1.75,1.75,
gas,1991-01-16,1.68,1.72,1.73,1.73,
gas,1991-01-17,1.55,1.62,1.65,1.55,
gas,1991-01-18,1.57,1.57,1.62,1.6,
gas,1991-01-21,1.55,1.57,1.58,1.58,
gas,1991-01-22,1.5,1.54,1.57,1.57,
gas,1991-01-23,1.39,1.39,1.46,1.46,
gas,1991-01-24,1.34,1.38,1.39,1.37,
gas,1991-01-25,1.37,1.4,1.42,1.4,
gas,1991-01-28,1.37,1.38,1.39,1.39,
gas,1991-01-29,1.38,1.39,1.4,1.39,
gas,1991-01-30,1.38,1.38,1.39,1.38,
gas,1991-01-31,1.38,1.38,1.4,1.4,
gas,1991-02-01,1.38,1.38,1.39,1.38,
gas,1991-02-04,1.35,1.37,1.37,1.37,
gas,1991-02-05,1.36,1.37,1.37,1.37,
gas,1991-02-06,1.37,1.37,1.39,1.37,
gas,1991-02-07,1.37,1.38,1.39,1.38,
gas,1991-02-08,1.36,1.37,1.38,1.37,
gas,1991-02-11,1.35,1.35,1.37,1.35,
gas,1991-02-12,1.34,1.35,1.35,1.34,
gas,1991-02-13,1.34,1.35,1.35,1.35,
gas,1991-02-14,1.33,1.37,1.37,1.33,
gas,1991-02-15,1.37,1.39,1.41,1.37,
gas,1991-02-19,1.38,1.4,1.44,1.41,
gas,1991-02-20,1.36,1.36,1.37,1.37,
gas,1991-02-21,1.33,1.33,1.35,1.34,
gas,1991-02-22,1.34,1.35,1.36,1.35,
gas,1991-02-25,1.34,1.35,1.36,1.34,
gas,1991-02-26,1.35,1.36,1.36,1.36,
gas,1991-02-27,1.35,1.36,1.36,1.36,
gas,1991-02-28,1.36,1.37,1.37,1.36,
